"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11784700","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11180156","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10098300","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11265900","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10698400","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11501200","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12943300","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12408500","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11446500","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10894900","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12605600","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11614300","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12528700","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12329400","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10952200","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10236800","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","9118000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10784800","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","9297100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","8648200","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6915400","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6588845","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7449900","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7198700","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","5972700","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6670000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6676222","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","5766000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6493200","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7402100","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7561200","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","8322139","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7044700","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7320600","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7134400","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","300000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","235159","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","233000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","312000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","505000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","365000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","615000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","280000","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","520000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","370000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","410000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","420000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","690000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","640000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","860000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","455000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","335199","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","440000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","410000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","370000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","395000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","275000","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","335000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","210000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","286000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","325000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","260000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","255000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","269400","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","290900","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","334100","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","301677","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","291300","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","256200","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","290600","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","6250000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","7760407","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","7995000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","10310000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","14325000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13205000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","8747900","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","12122800","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13534800","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13834700","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","12199800","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","9455900","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","9579800","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","11702200","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","12894600","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13269600","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13055339","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","15771000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","16163200","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","16529700","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","17585900","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","18989680","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22176000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20445800","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20899600","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20784700","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20784044","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","23014100","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22813200","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","21180900","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20782600","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22270249","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","21395700","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22081700","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","21394000","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","25900","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","96000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","350000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","730000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","1200000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","475000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","155000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","195000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","318919","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","430000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","110000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","105000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","205000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","117538","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","200000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","180000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","170000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","143000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","160000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","442900","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","391900","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","297800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","221950","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","233800","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","315500","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","400000","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2624800","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2730031","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2672100","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2560100","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2441200","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2487300","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2794100","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2600600","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2783700","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2881500","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3198000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3211000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3125300","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2927800","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2750600","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2701000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3439000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3040900","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3079800","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3191816","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3564100","","","","0"
